
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_128_128_4_8_100001_32.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   319
Number of Least Illustrative Guessed Incorrectly: 595
Accuracy of Least Illustrative Guesses:            34.9%
Number of Most Illustrative Guessed Correctly:    300
Number of Most Illustrative Guessed Incorrectly:  614
Accuracy of Most Illustrative Guesses:             32.8%
Overall Accuracy:                                  33.9%
