
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_64_128_8_4_200001_64.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   267
Number of Least Illustrative Guessed Incorrectly: 647
Accuracy of Least Illustrative Guesses:            29.2%
Number of Most Illustrative Guessed Correctly:    325
Number of Most Illustrative Guessed Incorrectly:  589
Accuracy of Most Illustrative Guesses:             35.6%
Overall Accuracy:                                  32.4%
