
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_64_128_4_8_50001_64.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   304
Number of Least Illustrative Guessed Incorrectly: 610
Accuracy of Least Illustrative Guesses:            33.3%
Number of Most Illustrative Guessed Correctly:    283
Number of Most Illustrative Guessed Incorrectly:  631
Accuracy of Most Illustrative Guesses:             31.0%
Overall Accuracy:                                  32.1%
