
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_128_128_8_4_100001_16.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   287
Number of Least Illustrative Guessed Incorrectly: 627
Accuracy of Least Illustrative Guesses:            31.4%
Number of Most Illustrative Guessed Correctly:    280
Number of Most Illustrative Guessed Incorrectly:  634
Accuracy of Most Illustrative Guesses:             30.6%
Overall Accuracy:                                  31.0%
