
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_128_128_8_4_100001_64.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   270
Number of Least Illustrative Guessed Incorrectly: 644
Accuracy of Least Illustrative Guesses:            29.5%
Number of Most Illustrative Guessed Correctly:    298
Number of Most Illustrative Guessed Incorrectly:  616
Accuracy of Most Illustrative Guesses:             32.6%
Overall Accuracy:                                  31.1%
