
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_128_128_8_4_100001_128.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   292
Number of Least Illustrative Guessed Incorrectly: 622
Accuracy of Least Illustrative Guesses:            31.9%
Number of Most Illustrative Guessed Correctly:    277
Number of Most Illustrative Guessed Incorrectly:  637
Accuracy of Most Illustrative Guesses:             30.3%
Overall Accuracy:                                  31.1%
