
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             word_analogy_dev_mturk_answers.txt
Test File:                                        ./word_analogy_pred/word_analogy_dev_sample_pred_nce_256_128_4_8_200001_64.txt
Number of MaxDiff Questions:                      914
Number of Least Illustrative Guessed Correctly:   270
Number of Least Illustrative Guessed Incorrectly: 644
Accuracy of Least Illustrative Guesses:            29.5%
Number of Most Illustrative Guessed Correctly:    326
Number of Most Illustrative Guessed Incorrectly:  588
Accuracy of Most Illustrative Guesses:             35.7%
Overall Accuracy:                                  32.6%
